Chr	Start	Stop	gene_id	.	Strand	Length
1	37697	42585	tID=DTA_1_37697_42585;Name=DTA,TSDlen8,TIRlen11	.	+	4889
1	50290	50576	tID=DTA_1_50290_50576;Name=DTA,TSDlen8,TIRlen11	.	+	287
1	83250	92305	tID=DHH00448B73v400001;Name=DHH00448B73v400001_NA_LCV5p17_LCV3p5	.	+	9056
1	94907	100127	tID=DHH00002B73v406095;Name=DHH00002B73v406095_Hip1_LCV5p15_LCV3p37	.	+	5221
1	122983	128278	tID=RLC00032B73v400024;Name=RLC00032B73v400024_ebel_LTRsimilarity100	.	+	5296
1	139734	153156	tID=RLX00210B73v400002;Name=RLX00210B73v400002_NA_LTRsimilarity99.71	.	+	13423
1	183340	197296	tID=RLG00001B73v400961;Name=RLG00001B73v400961_cinful-zeon_LTRsimilarity99.04	.	+	13957
1	199283	209113	tID=DHH00002B73v406096;Name=DHH00002B73v406096_Hip1_LCV5p13_LCV3p38	.	+	9831
1	209114	220714	tID=DHH00002B73v406097;Name=DHH00002B73v406097_Hip1_LCV5p11_LCV3p7	.	+	11601
1	220934	238633	tID=DHH00002B73v406098;Name=DHH00002B73v406098_Hip1_LCV5p8_LCV3p6	.	+	17700
1	231818	241455	tID=RLG00037B73v400011;Name=RLG00037B73v400011_NA_LTRsimilarity96.08	.	+	9638
1	243770	251243	tID=RLG00001B73v400962;Name=RLG00001B73v400962_cinful-zeon_LTRsimilarity99.57	.	+	7474
1	321669	326842	tID=DHH00002B73v400394;Name=DHH00002B73v400394_Hip1_LCV5p7_LCV3p11	.	+	5174
1	327905	328138	tID=DHH00002B73v400395;Name=DHH00002B73v400395_Hip1_LCV5p17_LCV3p24	.	+	234
1	332433	334130	tID=DHH00002B73v406100;Name=DHH00002B73v406100_Hip1_LCV5p17_LCV3p34	.	+	1698
1	417746	418771	tID=DTA_1_417746_418771;Name=DTA,TSDlen8,TIRlen11	.	+	1026
1	420872	426269	tID=RLC00687B73v400001;Name=RLC00687B73v400001_iseb_LTRsimilarity94.77	.	+	5398
1	433153	442574	tID=RLX15477B73v400001;Name=RLX15477B73v400001_NA_LTRsimilarity94.73	.	+	9422
1	563006	563132	tID=DTH_1_563006_563132;Name=DTH,TSDlen3,TIRlen14	.	+	127
1	567645	571590	tID=DTA_1_567645_571590;Name=DTA,TSDlen8,TIRlen11	.	+	3946
1	676705	688832	tID=DHH00001B73v406579;Name=DHH00001B73v406579_NA_LCV5p6_LCV3p7	.	+	12128
1	701387	702281	tID=DTA_1_701387_702281;Name=DTA,TSDlen8,TIRlen11	.	+	895
1	712919	713200	tID=DTA_1_712919_713200;Name=DTA,TSDlen8,TIRlen11	.	+	282
1	717772	737618	tID=RLG00008B73v402319;Name=RLG00008B73v402319_doke_LTRsimilarity96.04	.	+	19847
1	863378	865031	tID=RLX15473B73v400001;Name=RLX15473B73v400001_NA_LTRsimilarity86.98	.	+	1654
1	1037617	1038348	tID=DHH00001B73v400465;Name=DHH00001B73v400465_NA_LCV5p11_LCV3p7	.	+	732
1	1045651	1054129	tID=RLC00004B73v400605;Name=RLC00004B73v400605_opie_LTRsimilarity93.44	.	+	8479
1	1200222	1205151	tID=RLC00182B73v400001;Name=RLC00182B73v400001_NA_LTRsimilarity99.59	.	+	4930
1	1207370	1210009	tID=DHH00002B73v406101;Name=DHH00002B73v406101_Hip1_LCV5p9_LCV3p43	.	+	2640
1	1218202	1226514	tID=DHH02536B73v400001;Name=DHH02536B73v400001_NA_LCV5p11_LCV3p6	.	+	8313
1	1220550	1226296	tID=RLC15470B73v400001;Name=RLC15470B73v400001_NA_LTRsimilarity88.81	.	+	5747
1	1230060	1241226	tID=DHH00001B73v400466;Name=DHH00001B73v400466_NA_LCV5p10_LCV3p7	.	+	11167
1	1516496	1521697	tID=RLC00718B73v400002;Name=RLC00718B73v400002_anar_LTRsimilarity85.44	.	+	5202
1	1541941	1550025	tID=DHH00002B73v400396;Name=DHH00002B73v400396_Hip1_LCV5p12_LCV3p50	.	+	8085
1	1581271	1608753	tID=RLC00004B73v408897;Name=RLC00004B73v408897_opie_LTRsimilarity90.2	.	+	27483
1	1717360	1736564	tID=DHH02488B73v400001;Name=DHH02488B73v400001_NA_LCV5p7_LCV3p5	.	+	19205
1	1813472	1817220	tID=DHH02473B73v400001;Name=DHH02473B73v400001_NA_LCV5p14_LCV3p5	.	+	3749
1	1839713	1839802	tID=DTC_1_1839713_1839802;Name=DTC,TSDlen3,TIRlen13	.	+	90
1	1845260	1851760	tID=RLC00030B73v400014;Name=RLC00030B73v400014_name_LTRsimilarity89.74	.	+	6501
1	1941379	1941864	tID=DTM_1_1941379_1941864;Name=DTM,TSDlen9,TIRlen40	.	+	486
1	2025106	2025558	tID=DTH_1_2025106_2025558;Name=DTH,TSDlen3,TIRlen14	.	+	453
1	2097957	2104217	tID=RLC00030B73v400016;Name=RLC00030B73v400016_name_LTRsimilarity97.05	.	+	6261
1	2107179	2107382	tID=DTA_1_2107179_2107382;Name=DTA,TSDlen8,TIRlen11	.	+	204
1	2168953	2186160	tID=DHH00005B73v400146;Name=DHH00005B73v400146_NA_LCV5p6_LCV3p5	.	+	17208
1	2234034	2243433	tID=DHH00101B73v400001;Name=DHH00101B73v400001_NA_LCV5p7_LCV3p5	.	+	9400
1	2242768	2251363	tID=RLC00002B73v413440;Name=RLC00002B73v413440_ji_LTRsimilarity94.13	.	+	8596
1	2278509	2283350	tID=DHH00002B73v400398;Name=DHH00002B73v400398_Hip1_LCV5p16_LCV3p32	.	+	4842
1	2289561	2296504	tID=DHH00002B73v406103;Name=DHH00002B73v406103_Hip1_LCV5p23_LCV3p52	.	+	6944
1	2379826	2385348	tID=RLC00063B73v400003;Name=RLC00063B73v400003_NA_LTRsimilarity85	.	+	5523
1	2388886	2408211	tID=RLX03396B73v400001;Name=RLX03396B73v400001_NA_LTRsimilarity86.97	.	+	19326
1	2501425	2521922	tID=RLC00004B73v408900;Name=RLC00004B73v408900_opie_LTRsimilarity90.69	.	+	20498
1	2636959	2650774	tID=RLG00003B73v400623;Name=RLG00003B73v400623_huck_LTRsimilarity99.41	.	+	13816
1	2745956	2751210	tID=DHH02353B73v400001;Name=DHH02353B73v400001_NA_LCV5p7_LCV3p15	.	+	5255
